,id,film,year,awards,nominations
173,f989ef9d-a3b2-4ae8-9e3b-c4ad5167dc45,Brave,2012,1,1
174,256534ef-8a8a-4ea3-b80a-ec98f18e80c8,Searching for Sugar Man,2012,1,1
175,5df78af8-4c3a-4538-a6c1-0b75e583bdd1,Inocente,2012,1,1
176,869b0c32-6aa8-499b-95ad-c6eb99d5c8c8,Curfew,2012,1,1
177,c399ff2b-24e6-494b-bbaa-4feab8c7428e,The Artist,2011,5,10
178,527f9d0f-dd7f-4280-b14c-032b33108d58,Hugo,2011,5,11
179,b062e1b1-c1cb-47b6-bdb2-d37438cafe36,The Iron Lady,2011,2,2
180,8bcc746e-d3a7-4e59-9f72-dfaee518e41e,The Descendants,2011,1,5
181,935d220f-7161-4704-832a-bae7b30868a8,The Girl with the Dragon Tattoo,2011,1,5
182,4d096801-074d-42cd-99e2-96789e4ca375,Midnight in Paris,2011,1,4
183,b6e86de8-1e7c-485d-b771-eda3301549e8,The Help,2011,1,4
184,51348a8d-2a30-4f88-9912-03441c0a8037,A Separation,2011,1,2
185,d8750246-7bc7-4f22-a959-79a6c1c554cf,The Fantastic Flying Books of Mr. Morris Lessmore,2011,1,1
186,ae2f0481-e9b6-4578-bacd-0f03c87d4f71,The Shore,2011,1,1
187,bd5dc7fc-9cef-4e62-9964-e142725196b1,Undefeated,2011,1,1
188,d93e3d32-e50c-4d0b-9cf0-a696a26a51b2,The Muppets,2011,1,1
189,8cad8fa6-d6de-4182-8381-8a0655625bfb,Saving Face,2011,1,1
190,50011cd1-b536-40ea-b60e-21ff718ce6d7,Beginners,2011,1,1
191,c36a7379-c8a3-4ab1-89df-3ec719d8b2d2,Rango,2011,1,1
192,7244364d-0a88-4815-b374-11c140f99213,The King's Speech,2010,4,12
193,a4ce8da0-4fcd-4c1f-a6ca-ea8e38a528d9,Inception,2010,4,8
194,6890ee3e-6e4b-4193-9ce7-c5b1149df9d4,The Social Network,2010,3,8
195,f59ec1b5-31e4-4355-96af-1f9b7386cf5f,The Fighter,2010,2,7
196,0f494adf-015c-47b6-823d-7d9f32ed6b9d,Toy Story 3,2010,2,5
